Species,HAGRID,Lifespan
Mustela putorius,2650,11.1
Tupaia belangeri,3630,11.1
Botaurus stellaris,1868,11.3
Xenomystus nigri,326,11.4
Neovison vison,2652,11.4
Pteromys volans,3588,11.4
Trimeresurus albolabris,4079,11.4
Erinaceus europaeus,3017,11.7
Naja atra,3870,11.7
Poecile palustris,1707,11.9
Catostomus commersonii,98,12
Gadus ogac,257,12
Branchiostegus japonicus,473,12
Perca flavescens,530,12
Katsuwonus pelamis,584,12
Zeus faber,836,12
Taeniopygia guttata,1568,12
Scyliorhinus canicula,2248,12
Callorhinchus capensis,2264,12
Heterodontus francisci,2267,12
Carcharias taurus,2277,12
Procapra gutturosa,2435,12
Cavia porcellus,3288,12
Tachycineta bicolor,1619,12.1
Xenopeltis unicolor,4094,12.1
Lyrurus tetrix,1408,12.2
Hypsiglena torquata,3795,12.2
Alectura lathami,1386,12.5
Euphagus cyanocephalus,1626,12.5
Mustela erminea,2644,12.5
Coccothraustes coccothraustes,1584,12.6
Falco columbarius,1369,12.7
Alosa sapidissima,68,13
Cycleptus elongatus,107,13
Phoxinus phoxinus,203,13
Istiophorus platypterus,426,13
Scarus ghobban,566,13
Thunnus alalunga,592,13
Salmo salar,707,13
Meleagris gallopavo,1409,13
Hemignathus munroi,1589,13
Loxioides bailleui,1598,13
Acridotheres cristatellus,1783,13
Dryocopus pileatus,1921,13
Vulpes corsac,2545,13
Sarcophilus harrisii,2908,13
Passer montanus,1759,13.1
Lagorchestes hirsutus,2955,13.2
Bungarus fasciatus,3860,13.2
Plethodon elongatus,974,13.3
Chrysolophus pictus,1396,13.4
Carduelis spinus,1578,13.5
Neotragus moschatus,2419,13.5
Heteronotia binoei,3897,13.6
Bungarus multicinctus,3861,13.7
Ambystoma texanum,939,13.8
Dermophis mexicanus,1008,13.8
Sylvia atricapilla,1789,13.8
Hydropotes inermis,2478,13.9
Hydropotes inermis,2478,13.9
Mephitis mephitis,2616,13.9
Hiodon alosoides,322,14
Lethrinus obsoletus,447,14
Sphyraena barracuda,630,14
Acrocephalus scirpaceus,1451,14
Octodon degus,3541,14
Tarentola mauritanica,3956,14
Hynobius nebulosus,949,14.2
Martes pennanti,2638,14.3
Pygoplites diacanthus,557,14.5
Eudorcas rufifrons,2392,14.5
Potorous tridactylus,3003,14.5
Gazella leptoceros,2398,14.6
Varanus niloticus,4018,14.6
Cyclemys dentata,4104,14.7
Fringilla montifringilla,1587,14.8
Procavia capensis,3023,14.8
Sciurus vulgaris,3605,14.8
Anguilla nebulosa,32,15
Sardina pilchardus,79,15
Ictiobus bubalus,113,15
Chanos chanos,292,15
Seriolella porosa,367,15
Dicentrarchus labrax,477,15
Rachycentron canadum,563,15
Thunnus thynnus,596,15
Epinephelus areolatus,599,15
Pagellus bogaraveo,625,15
Trichiurus lepturus,631,15
Coregonus nasus,686,15
Hucho hucho,693,15
Rana nigromaculata,918,15
Polyplectron napoleonis,1413,15
Leiothrix lutea,1646,15
Platalea minor,1896,15
Hemitriakis japanica,2254,15
Redunca fulvorufula,2440,15
Daboia russellii / Daboia russelii,4065,15
Cephalophus natalensis,2381,15.2
Cephalophus rufilatus,2384,15.2
Coleonyx variegatus,3887,15.2
Tragelaphus scriptus,2453,15.3
Tropidophis haetianus,4005,15.3
Parus major,1699,15.4
Sylvicapra grimmia,2445,15.4
Scolopax rusticola,1294,15.5
Antilocapra americana,2347,15.5
Nanger soemmerringii,2418,15.5
Varanus salvator,4021,15.7
Bombina orientalis,839,15.8
Arctonyx collaris,2620,15.8
Pteropus scapulatus,2814,15.8
Falco cherrug,1368,15.9
Ourebia ourebi,2426,15.9
Philantomba monticola,2434,15.9
Trichosurus vulpecula,2994,15.9
Mugil cephalus,302,16
Rexea solandri,400,16
Sander lucioperca,547,16
Hucho taimen,694,16
Prosopium cylindraceum,703,16
Ictalurus punctatus,806,16
Eudyptula minor,2156,16
Aetobatus flagellum,2284,16
Amblyraja radiata,2298,16
Martes flavigula,2634,16
Tarsius syrichta,3269,16
Loxia curvirostra,1596,16.1
Cuon alpinus,2530,16.1
Sus barbatus,2509,16.2
Urocyon cinereoargenteus,2540,16.2
Hemitheconyx caudicinctus,3896,16.2
Mauremys japonica,4114,16.2
Gazella subgutturosa,2400,16.3
Vulpes lagopus,2546,16.3
Vulpes zerda,2552,16.3
Tarsius bancanus,3267,16.3
Dromaius novaehollandiae,1176,16.6
Nyctereutes procyonoides,2537,16.6
Herpestes javanicus,2601,16.6
Galago moholi,3214,16.6
Corvus cornix,1492,16.8
Ovis ammon,2428,16.8
Redunca arundinum,2439,16.8
Chrysocyon brachyurus,2529,16.8
Scomber scombrus,588,17
Prosopium williamsoni,706,17
Ambystoma mexicanum,935,17
Onychodactylus fischeri,951,17
Falco sparverius,1378,17
Turdus migratorius,1819,17
Sus verrucosus,2512,17
Prionailurus bengalensis,2583,17
