Species,HAGRID,Lifespan
Cyprinus carpio,147,47
Cyprinus carpio,147,47
Cyprinus carpio,147,47
Cyprinus carpio,147,47
Cyprinus carpio,147,47
Cyprinus carpio,147,47
Cyprinus carpio,147,47
Anser albifrons,1090,47
Calyptorhynchus baudinii,2046,47
Peponocephala electra,2746,47
Equus asinus,3068,47
Chelydra serpentina,4141,47
Python regius,3974,47.5
Phoca vitulina,2685,47.6
Maccullochella peeli / Maccullochella peelii,491,48
Aquila chrysaetos,1020,48
Mesoplodon europaeus,2758,48
Latimeria chalumnae,4219,48
Ciconia boyciana,1312,48.1
Notorynchus cepedianus,2269,49
Diceros bicornis,3077,49
Hylobates agilis,3225,49
Tachyglossus aculeatus,3055,49.5
Anguilla rostrata,34,50
Sciaenops ocellatus,580,50
Coregonus clupeaformis,682,50
Struthio camelus,2184,50
Galeocerdo cuvier,2240,50
Carcharodon carcharias,2273,50
Balaenoptera acutorostrata,2729,50
Monodon monoceros,2765,50
Strongylocentrotus purpuratus,4226,50
Trionyx triunguis,4217,50.6
Tursiops truncatus,2753,51.6
Rhincodon typus,2293,54
Anguis fragilis,3715,54
Huso dauricus,21,55
Polyodon spathula,24,55
Megalops atlanticus,242,55
Andrias japonicus,945,55
Pan paniscus,3222,55
Gorilla gorilla,3220,55.4
Gorilla gorilla,3220,55.4
Pusa sibirica,2688,56
Hylobates lar,3229,56
Mecistops cataphractus,3690,56.1
Equus caballus,3069,57
Stenella coeruleoalba,2751,57.5
Pongo pygmaeus,3224,59
Pan troglodytes,3223,59.4
Acipenser schrenckii,17,60
Anguilla dieffenbachii,29,60
Silurus glanis,824,60
Globicephala melas,2739,60
Alligator sinensis,3674,60.7
Chrysemys picta,4146,61
Chrysemys picta,4146,61
Hippopotamus amphibius,2500,61.2
Phoebastria immutabilis,1950,62
Ziphius cavirostris,2759,62
Pseudorca crassidens,2747,62.5
Globicephala macrorhynchus,2738,63
Loxodonta africana,3271,65
Trichechus manatus,3637,65
Elephas maximus,3270,65.5
Cacatua moluccensis,2038,65.8
Cygnus olor,1119,70
Bucorvus leadbeateri,1165,70
Eubalaena australis,2727,70
Osteolaemus tetraspis,3691,70
Macrochelys temminckii,4142,70.3
Balaenoptera edeni,2731,72
Dugong dugon,3635,73
Alligator mississippiensis,3673,73.1
Balaenoptera borealis,2730,74
Squalus acanthias,2329,75
Chelonia mydas,4138,75
Eschrichtius robustus,2754,77
Berardius bairdii,2755,84
Anguilla anguilla,26,88
Hippoglossus hippoglossus,655,90
Orcinus orca,2745,90
Sphenodon punctatus,3694,90
Megaptera novaeangliae,2734,95
Homarus americanus,9,100
Acipenser dabryanus,12,100
Allocyttus niger,832,100
Neocyttus rhomboidalis,834,100
Proteus anguinus,984,102
Acipenser transmontanus,20,104
Balaenoptera musculus,2732,110
Anoplopoma fimbria,715,114
Balaenoptera physalus,2733,114
Huso huso,22,118
Homo sapiens,3221,122.5
Homo sapiens,3221,122.5
Testudo graeca,4208,127
Balaena mysticetus,2726,211
Arctica islandica,4228,507
